molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3678708,active,6.168130225719498,O=C(c1nn(C2CCCN(CCC(C(F)(F)F)C(F)(F)F)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,594.5779999999999,4.077600000000003,0.0,6.0
CHEMBL3678707,active,6.826813731587726,O=C(c1nn(C2CCCN(CCC(F)(F)F)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,512.5540000000003,2.8991000000000016,0.0,6.0
CHEMBL3683544,active,6.809668301829708,O=C(c1nn(C2CCCN(CCC3CCCCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,526.7030000000002,3.917100000000003,0.0,6.0
CHEMBL3683551,active,7.42021640338319,O=C(c1nn(C2CCCN(CCC3CCOCC3)C2)c2c1CS(=O)(=O)c1c(Cl)cccc1-2)N1CCOCC1,563.12,3.416800000000002,0.0,7.0
CHEMBL3683530,active,7.657577319177793,O=C(c1nn(C2CCCN(CCC3CCOCC3)C2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,546.6650000000001,2.9025000000000016,0.0,7.0
CHEMBL3678709,active,7.267606240177032,O=C(c1nn(C2CCCN(CCC3CCOCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,528.6750000000002,2.7634000000000016,0.0,7.0
CHEMBL3683636,active,7.214670164989233,O=C(c1nn(C2CCCN(CCC3CCOCC3)C2)c2c1CS(=O)(=O)c1ncccc1-2)N1CCOCC1,529.6630000000001,2.1584000000000003,0.0,8.0
CHEMBL3683546,active,7.045757490560675,O=C(c1nn(C2CCCN(CCCn3cccc3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,523.6590000000003,2.8385000000000016,0.0,6.0
CHEMBL3678706,active,6.494850021680094,O=C(c1nn(C2CCCN(CCF)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,462.54700000000025,1.9162000000000001,0.0,6.0
CHEMBL3683642,active,7.42021640338319,O=C(c1nn(C2CCCN(CCN3CC(F)(F)C3)C2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,553.6070000000002,2.0366999999999997,0.0,7.0
CHEMBL3683523,active,7.443697499232712,O=C(c1nn(C2CCCN(CCN3CC(F)(F)C3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,535.6170000000002,1.8975999999999995,0.0,7.0
CHEMBL3683531,active,7.468521082957745,O=C(c1nn(C2CCCN(CCN3CCC(F)CC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,545.6810000000002,2.3806000000000003,0.0,7.0
CHEMBL3683534,active,7.080921907623926,O=C(c1nn(C2CCCN(CCN3CCCC(F)(F)C3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,563.6710000000002,2.6778000000000013,0.0,7.0
CHEMBL3683559,active,6.920818753952375,O=C(c1nn(C2CCCN(CCN3CCOCC3)C2)c2c1CS(=O)(=O)c1c(Cl)cccc1-2)N1CCOCC1,564.1080000000001,1.9323000000000006,0.0,8.0
CHEMBL3683641,active,7.795880017344075,O=C(c1nn(C2CCCN(CCN3CCOCC3)C2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,547.6530000000001,1.418000000000001,0.0,8.0
CHEMBL3678660,active,6.913640169325252,O=C(c1nn(C2CCCN(CCN3CCOCC3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,529.6630000000001,1.2789000000000021,0.0,8.0
CHEMBL3683533,active,7.468521082957745,O=C(c1nn(C2CCCN(CCN3CC[C@@H](F)C3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,531.6540000000002,1.9904999999999997,0.0,7.0
CHEMBL3683532,active,7.142667503568731,O=C(c1nn(C2CCCN(CCN3CC[C@H](F)C3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,531.6540000000002,1.9904999999999997,0.0,7.0
CHEMBL3678619,active,6.088842391260023,O=C(c1nn(C2CCCN(CCO)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,460.55600000000027,0.9389999999999998,1.0,7.0
CHEMBL3678704,active,6.148130399270234,O=C(c1nn(C2CCCN(CCc3ccccc3)C2)c2c1CS(=O)(=O)c1ccccc1-2)N1CCOCC1,520.6550000000003,3.189400000000002,0.0,6.0
CHEMBL3683634,active,7.096910013008056,O=C(c1nn(C2CCCN(CCn3cccn3)C2)c2c1CS(=O)(=O)c1c(F)cccc1-2)N1CCOCC1,528.6100000000002,1.9825,0.0,7.0
